"Country or Area","Year","Value","Value Footnotes"
"Bangladesh","2018","19.5",""
"China","2018","8.5",""
"Dem. Rep. Congo","2018","7",""
"Germany","2018","8",""
"Philippines","2018","34",""
"Venezuela","2018","230",""

